sentiment,tweet,unit_id,golden,unit_state,trusted_judgments,last_judgment_at,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,681448174,FALSE,finalized,3,2/25/15 8:34,0.6769,NA,0,Virgin America,NA,idk_but_youtube,NA,0,NA,2/24/15 10:48,570294e12,1/1 loner squad,Eastern Time (US & Canada)
positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,681448176,FALSE,finalized,3,2/25/15 2:03,1,NA,NA,Virgin America,NA,HyperCamiLax,NA,0,NA,2/24/15 10:30,57029e13,NYC,America/New_York
positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,681448178,FALSE,finalized,3,2/25/15 2:13,1,NA,NA,Virgin America,NA,HyperCamiLax,NA,0,NA,2/24/15 10:30,57029e13,NYC,America/New_York
positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,681448181,FALSE,finalized,3,2/25/15 5:39,0.6451,NA,NA,Virgin America,NA,mollanderson,NA,0,NA,2/24/15 10:21,570287e12,NA,Eastern Time (US & Canada)
positive,@VirginAmerica Thanks!,681448182,FALSE,finalized,3,2/25/15 7:33,1,NA,NA,Virgin America,NA,sjespers,NA,0,NA,2/24/15 10:15,570286e12,"San Francisco, CA",Pacific Time (US & Canada)
negative,@VirginAmerica SFO-PDX schedule is still MIA.,681448184,FALSE,finalized,3,2/25/15 3:11,0.6842,Late Flight,0.3684,Virgin America,NA,smartwatermelon,NA,0,NA,2/24/15 10:01,570282e12,"palo alto, ca",Pacific Time (US & Canada)
positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,681448186,FALSE,finalized,3,2/25/15 1:32,1,NA,NA,Virgin America,NA,ItzBrianHunty,NA,0,NA,2/24/15 9:42,570278e12,west covina,Pacific Time (US & Canada)
negative,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,681448188,FALSE,finalized,3,2/25/15 8:46,1,Bad Flight,1,Virgin America,NA,heatherovieda,NA,0,NA,2/24/15 9:39,570277e12,this place called NYC,Eastern Time (US & Canada)
positive,I ÔøΩÔøΩ_ÔøΩÔøΩÔøΩ flying @VirginAmerica. ÔøΩÔøΩÔøΩÔøΩÔøΩÔøΩ_ÔøΩ‘ç,681448190,FALSE,finalized,3,2/25/15 10:24,1,NA,NA,Virgin America,NA,thebrandiray,NA,0,NA,2/24/15 9:15,570271e12,Somewhere celebrating life.,Atlantic Time (Canada)
positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,681448192,FALSE,finalized,3,2/25/15 5:25,1,NA,NA,Virgin America,NA,JNLpierce,NA,0,NA,2/24/15 9:04,570268e12,Boston | Waltham,Quito
negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,681448194,FALSE,finalized,3,2/25/15 3:34,0.6705,Can't Tell,0.3614,Virgin America,NA,MISSGJ,NA,0,NA,2/24/15 8:55,570266e12,NA,NA
positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,681448197,FALSE,finalized,3,2/25/15 2:26,1,NA,NA,Virgin America,NA,DT_Les,NA,0,"[40.74804263, -73.99295302]",2/24/15 8:49,570264e12,NA,NA
positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.,681448199,FALSE,finalized,3,2/25/15 3:26,1,NA,NA,Virgin America,NA,ElvinaBeck,NA,0,NA,2/24/15 8:30,570259e12,Los Angeles,Pacific Time (US & Canada)
neutral,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,681448201,FALSE,finalized,3,2/25/15 11:31,1,NA,NA,Virgin America,NA,rjlynch21086,NA,0,NA,2/24/15 8:27,570259e12,"Boston, MA",Eastern Time (US & Canada)
negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _ÔøΩÔøΩÔøΩ I want free internet,681448204,FALSE,finalized,3,2/25/15 5:59,1,Customer Service Issue,0.3557,Virgin America,NA,ayeevickiee,NA,0,NA,2/24/15 8:18,570257e12,714,Mountain Time (US & Canada)
negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,681448206,FALSE,finalized,3,2/25/15 5:25,1,Customer Service Issue,1,Virgin America,NA,Leora13,NA,0,NA,2/24/15 7:49,570249e12,NA,NA
negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,681448208,FALSE,finalized,3,2/25/15 2:01,1,Can't Tell,0.6614,Virgin America,NA,meredithjlynn,NA,0,NA,2/24/15 7:11,57024e13,NA,NA
neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,681448211,FALSE,finalized,3,2/25/15 1:08,0.6854,NA,NA,Virgin America,NA,AdamSinger,NA,0,NA,2/24/15 5:44,570218e12,"San Francisco, CA",Central Time (US & Canada)
negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,681448213,FALSE,finalized,3,2/25/15 9:04,1,Bad Flight,1,Virgin America,NA,blackjackpro911,NA,0,"[42.361016, -71.02000488]",2/24/15 5:05,570208e12,"San Mateo, CA & Las Vegas, NV",NA
neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,681448214,FALSE,finalized,3,2/25/15 9:14,0.615,NA,0,Virgin America,NA,TenantsUpstairs,NA,0,"[33.94540417, -118.4062472]",2/23/15 23:34,570125e12,Brooklyn,Atlantic Time (Canada)
negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _ÔøΩÔøΩÔøΩ",681448218,FALSE,finalized,3,2/25/15 2:49,1,Flight Booking Problems,1,Virgin America,NA,jordanpichler,NA,0,NA,2/23/15 22:52,570114e12,NA,Vienna
neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,681448221,FALSE,finalized,3,2/25/15 2:55,1,NA,NA,Virgin America,NA,JCervantezzz,NA,0,NA,2/23/15 21:35,570095e12,"California, San Francisco",Pacific Time (US & Canada)
negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",681448223,FALSE,finalized,3,2/25/15 1:57,1,Customer Service Issue,1,Virgin America,NA,Cuschoolie1,NA,0,"[33.94209449, -118.40410103]",2/23/15 21:10,570088e12,Washington DC,Quito
negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",681448225,FALSE,finalized,3,2/25/15 2:53,1,Customer Service Issue,1,Virgin America,NA,amanduhmccarty,NA,0,NA,2/23/15 20:55,570085e12,NA,Pacific Time (US & Canada)
positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,681448228,FALSE,finalized,3,2/25/15 1:01,1,NA,NA,Virgin America,NA,NorthTxHomeTeam,NA,0,"[33.2145038, -96.9321504]",2/23/15 20:24,570077e12,Texas,Central Time (US & Canada)
neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,681448230,FALSE,finalized,3,2/25/15 2:14,0.6207,NA,NA,Virgin America,NA,miaerolinea,NA,0,NA,2/23/15 18:46,570052e12,Worldwide,Caracas
positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. _ÔøΩÔøΩœâÔøΩÔøΩ #MoodlitMonday,681448235,FALSE,finalized,3,2/25/15 1:35,1,NA,NA,Virgin America,NA,Nicsplace,NA,0,NA,2/23/15 18:43,570051e12,Central Texas,NA
positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",681448239,FALSE,finalized,3,2/25/15 6:24,1,NA,NA,Virgin America,NA,Nicsplace,NA,0,NA,2/23/15 18:19,570045e12,Central Texas,NA
neutral,@VirginAmerica when can I book my flight to Hawaii??,681448241,FALSE,finalized,3,2/25/15 5:08,0.6791,NA,0,Virgin America,NA,elisha_malulani,NA,0,NA,2/23/15 17:54,570039e12,i'm creating a monster,Pacific Time (US & Canada)
negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,681448243,FALSE,finalized,3,2/25/15 9:25,1,Customer Service Issue,1,Virgin America,NA,DannyDouglass,NA,0,NA,2/23/15 17:41,570036e12,"San Francisco, CA",Pacific Time (US & Canada)
positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",681448245,FALSE,finalized,3,2/25/15 0:42,0.6639,NA,NA,Virgin America,NA,jamesferrandini,NA,0,NA,2/23/15 17:32,570034e12,NA,NA
negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",681448247,FALSE,finalized,3,2/25/15 4:58,0.6688,Flight Booking Problems,0.6688,Virgin America,NA,will_lenzenjr,NA,0,NA,2/23/15 17:00,570025e12,Iowa City,Central Time (US & Canada)
neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _ŸçÔøΩ_ÔøΩ‘ç_ÔøΩ’ºÔøΩÔøΩÔøΩÔøΩÔøΩÔøΩ,681448249,FALSE,finalized,3,2/25/15 6:26,1,NA,NA,Virgin America,NA,GottAmanda,NA,0,"[34.0219817, -118.38591198]",2/23/15 16:24,570016e12,Los Angeles,NA
neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,681448251,FALSE,finalized,3,2/25/15 6:30,0.6578,NA,0,Virgin America,NA,KGervaise,NA,0,NA,2/23/15 16:20,570015e12,Georgia,Pacific Time (US & Canada)
neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,681448254,FALSE,finalized,3,2/25/15 8:33,1,NA,NA,Virgin America,NA,papamurat,NA,0,NA,2/23/15 16:13,570014e12,NA,NA
positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!,681448256,FALSE,finalized,3,2/25/15 5:46,1,NA,NA,Virgin America,NA,arieldaie,NA,0,NA,2/23/15 16:08,570012e12,Los Angeles,NA
neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,681448258,FALSE,finalized,3,2/25/15 5:56,0.6799,NA,NA,Virgin America,NA,vacations7,NA,0,NA,2/23/15 16:04,570011e12,Turks and caicos,NA
positive,@VirginAmerica wow this just blew my mind,681448260,FALSE,finalized,3,2/25/15 7:50,1,NA,NA,Virgin America,NA,ChelseaPoe666,NA,0,NA,2/23/15 16:01,570011e12,Oakland via Midwest,Atlantic Time (Canada)
neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,681448262,FALSE,finalized,3,2/25/15 6:47,1,NA,NA,Virgin America,NA,BobGlavinVO,NA,0,NA,2/23/15 16:01,570011e12,"New York, NY",Eastern Time (US & Canada)
neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,681448264,FALSE,finalized,3,2/25/15 3:52,0.6436,NA,NA,Virgin America,NA,lisaaiko,NA,0,NA,2/23/15 15:58,57001e13,NA,NA
neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",681448265,FALSE,finalized,3,2/25/15 3:23,0.6764,NA,0,Virgin America,NA,grantbrowne,NA,0,NA,2/23/15 15:55,570009e12,Worldwide,Central Time (US & Canada)
positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,681448267,FALSE,finalized,3,2/25/15 8:02,0.657,NA,NA,Virgin America,NA,joyabsalon,NA,0,NA,2/23/15 15:46,570007e12,Northern Virginia,Eastern Time (US & Canada)
neutral,@VirginAmerica wish you flew out of Atlanta... Soon?,681448269,FALSE,finalized,3,2/25/15 6:54,1,NA,NA,Virgin America,NA,2v,NA,0,NA,2/23/15 15:36,570004e12,Los Angeles / Atlanta,Eastern Time (US & Canada)
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,681448271,FALSE,finalized,3,2/25/15 6:58,0.7118,NA,0,Virgin America,NA,KSmithFoundHere,NA,0,NA,2/23/15 15:24,570001e12,NA,Atlantic Time (Canada)
neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,681448273,FALSE,finalized,3,2/25/15 7:06,1,NA,NA,Virgin America,NA,papamurat,NA,0,NA,2/23/15 15:19,57e16,NA,NA
negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,681448275,FALSE,finalized,3,2/25/15 9:10,0.6939,Flight Booking Problems,0.6939,Virgin America,NA,murphicus,NA,0,NA,2/23/15 15:05,569996e12,"new york, new york",Eastern Time (US & Canada)
positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,681448278,FALSE,finalized,3,2/25/15 2:43,1,NA,NA,Virgin America,NA,VinnieFerra,NA,0,NA,2/23/15 15:04,569996e12,"brooklyn, Ny",Pacific Time (US & Canada)
positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! _ÔøΩÔøΩ_,681448280,FALSE,finalized,3,2/25/15 0:33,0.635,NA,NA,Virgin America,NA,KevinDemsi,NA,0,NA,2/23/15 14:40,56999e13,"Bali, Republic of Indonesia",Kuala Lumpur
neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,681448282,FALSE,finalized,3,2/25/15 6:57,0.7007,NA,NA,Virgin America,NA,giffgaffman,NA,0,NA,2/23/15 14:40,56999e13,"UK, USA.",NA
neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,681448284,FALSE,finalized,3,2/25/15 6:58,1,NA,NA,Virgin America,NA,HanlonBrothers,NA,0,NA,2/23/15 14:37,56999e13,"Gold Coast, Australia",Brisbane
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,681448288,FALSE,finalized,3,2/25/15 5:38,1,NA,NA,Virgin America,NA,emilybg78,NA,0,NA,2/23/15 14:36,569989e12,"Stockton, CA",Arizona
negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,681448290,FALSE,finalized,3,2/25/15 9:58,1,Customer Service Issue,1,Virgin America,NA,rachie1126,NA,0,NA,2/23/15 14:35,569989e12,"New York, NY",Eastern Time (US & Canada)
neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _ÔøΩÔøΩÔøΩ_ÔøΩÔøΩÔøΩ",681448292,FALSE,finalized,3,2/25/15 8:08,0.6858,NA,NA,Virgin America,NA,adawson66,NA,0,"[33.57963333, -117.73024772]",2/23/15 14:30,569988e12,NA,NA
neutral,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",681448295,FALSE,finalized,3,2/25/15 7:27,1,NA,NA,Virgin America,NA,SocialPLC,NA,0,NA,2/23/15 14:26,569987e12,"Twin Cities, Minn.",Eastern Time (US & Canada)
positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,681448297,FALSE,finalized,3,2/25/15 5:58,1,NA,NA,Virgin America,NA,jeffreymace01,NA,0,NA,2/23/15 14:25,569986e12,NA,NA
neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,681448299,FALSE,finalized,3,2/25/15 8:18,0.6814,NA,0,Virgin America,NA,1stcrown,NA,0,NA,2/23/15 14:09,569982e12,USA,Central Time (US & Canada)
negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,681448302,FALSE,finalized,3,2/25/15 1:05,1,Customer Service Issue,1,Virgin America,NA,onerockgypsy,NA,0,NA,2/23/15 13:46,569977e12,next city,Pacific Time (US & Canada)
negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",681448303,FALSE,finalized,3,2/25/15 6:08,1,Late Flight,0.6789,Virgin America,NA,noelduan,NA,0,NA,2/23/15 13:35,569974e12,SF â†” NY,Eastern Time (US & Canada)
positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,681448306,FALSE,finalized,3,2/25/15 3:41,0.6922,NA,NA,Virgin America,NA,Travelzoo,NA,0,NA,2/23/15 13:30,569973e12,"New York, NY",Pacific Time (US & Canada)
negative,@VirginAmerica everything was fine until you lost my bag,681448308,FALSE,finalized,3,2/25/15 3:22,1,Lost Luggage,1,Virgin America,NA,gianagon,NA,0,"[40.6413712, -73.78311558]",2/23/15 13:08,569967e12,New York + Panama,Eastern Time (US & Canada)
neutral,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,681448310,FALSE,finalized,3,2/25/15 1:56,1,NA,NA,Virgin America,NA,bxchen,NA,0,NA,2/23/15 12:47,569962e12,"San Francisco, CA",Eastern Time (US & Canada)
neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,681448312,FALSE,finalized,3,2/25/15 7:04,0.6492,NA,0,Virgin America,NA,seimatrun,NA,0,NA,2/23/15 12:00,56995e13,Los Angeles,NA
neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",681448314,FALSE,finalized,3,2/25/15 9:16,1,NA,NA,Virgin America,NA,jamied7,NA,0,NA,2/23/15 11:56,569949e12,"London, England",London
negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,681448317,FALSE,finalized,3,2/25/15 7:27,1,Flight Attendant Complaints,0.3516,Virgin America,NA,seimatrun,NA,0,NA,2/23/15 11:46,569946e12,Los Angeles,NA
positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",681448319,FALSE,finalized,3,2/25/15 6:39,1,NA,NA,Virgin America,NA,mrmichaellay,NA,0,"[36.08457854, -115.13780136]",2/23/15 11:32,569943e12,Floridian from Cincinnati,Eastern Time (US & Canada)
positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,681448320,FALSE,finalized,3,2/25/15 3:09,1,NA,NA,Virgin America,NA,TaylorLumsden,NA,0,NA,2/23/15 11:28,569942e12,"Dallas, Texas",Mountain Time (US & Canada)
neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",681448321,FALSE,finalized,3,2/25/15 0:46,1,NA,NA,Virgin America,NA,campusmoviefest,NA,0,NA,2/23/15 11:24,569941e12,USA,Eastern Time (US & Canada)
neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,681448322,FALSE,finalized,3,2/25/15 1:46,1,NA,NA,Virgin America,NA,TaylorLumsden,NA,0,NA,2/23/15 11:22,56994e13,"Dallas, Texas",Mountain Time (US & Canada)
negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,681448324,FALSE,finalized,3,2/25/15 4:43,1,Customer Service Issue,1,Virgin America,NA,meme_meng,NA,0,NA,2/23/15 11:02,569935e12,NA,NA
neutral,@VirginAmerica what happened to Doom?!,681448326,FALSE,finalized,3,2/25/15 3:07,1,NA,NA,Virgin America,NA,kyle_romanoff,NA,0,NA,2/23/15 10:58,569934e12,NA,NA
negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,681448329,FALSE,finalized,3,2/25/15 7:14,1,Customer Service Issue,1,Virgin America,NA,GunsNDip,NA,0,NA,2/23/15 10:56,569934e12,NA,Pacific Time (US & Canada)
positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,681448331,FALSE,finalized,3,2/25/15 1:04,1,NA,NA,Virgin America,NA,artisticwritr87,NA,0,NA,2/23/15 10:56,569934e12,"Seattle, WA",Pacific Time (US & Canada)
negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,681448334,FALSE,finalized,3,2/25/15 4:13,0.6792,Late Flight,0.3477,Virgin America,NA,arieldaie,NA,0,NA,2/23/15 10:54,569933e12,Los Angeles,NA
negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,681448336,FALSE,finalized,3,2/25/15 9:57,1,Can't Tell,1,Virgin America,NA,GunsNDip,NA,0,NA,2/23/15 10:54,569933e12,NA,Pacific Time (US & Canada)
negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,681448338,FALSE,finalized,3,2/25/15 2:32,1,Can't Tell,1,Virgin America,NA,GunsNDip,NA,0,NA,2/23/15 10:38,569929e12,NA,Pacific Time (US & Canada)
negative,@VirginAmerica IÔøΩ€™m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,681448340,FALSE,finalized,3,2/25/15 6:05,1,Flight Booking Problems,1,Virgin America,NA,jsatk,NA,0,"[0.0, 0.0]",2/23/15 10:29,569927e12,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
neutral,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,681448342,FALSE,finalized,3,2/25/15 8:47,0.6705,NA,0,Virgin America,NA,serenaklal,NA,0,NA,2/23/15 10:15,569923e12,Chicago,Eastern Time (US & Canada)
neutral,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,681448345,FALSE,finalized,3,2/25/15 4:03,1,NA,NA,Virgin America,NA,openambit1,NA,0,NA,2/23/15 10:09,569922e12,NA,NA
neutral,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,681448347,FALSE,finalized,3,2/25/15 8:31,0.6545,NA,0,Virgin America,NA,cabowine,NA,0,NA,2/23/15 10:04,569921e12,"Los Cabos,Mexico",Arizona
negative,@VirginAmerica Why is the site down?  When will it be back up?,681448349,FALSE,finalized,3,2/25/15 3:54,1,Can't Tell,0.6513,Virgin America,NA,MaryAnnTaylorT,NA,0,NA,2/23/15 9:57,569919e12,"New York, NY",Arizona
neutral,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",681448353,FALSE,finalized,3,2/25/15 6:57,1,NA,NA,Virgin America,NA,RamotControl,NA,0,NA,2/23/15 9:45,569916e12,NA,Pacific Time (US & Canada)
neutral,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",681448355,FALSE,finalized,3,2/25/15 7:47,0.6639,NA,0,Virgin America,NA,losermelon,NA,0,NA,2/23/15 9:35,569913e12,NA,NA
negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,681448358,FALSE,finalized,3,2/25/15 9:47,1,Cancelled Flight,1,Virgin America,NA,AlisonK33774854,NA,0,NA,2/23/15 9:29,569912e12,NA,NA
negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",681448360,FALSE,finalized,3,2/25/15 3:30,1,Late Flight,1,Virgin America,NA,GunsNDip,NA,0,NA,2/23/15 9:28,569912e12,NA,Pacific Time (US & Canada)
neutral,@VirginAmerica why is flight 345 redirected?,681448362,FALSE,finalized,3,2/25/15 7:15,0.6765,NA,0,Virgin America,NA,yazdanagh,NA,0,NA,2/23/15 9:26,569911e12,NA,NA
negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",681448364,FALSE,finalized,3,2/25/15 3:17,1,Customer Service Issue,0.6863,Virgin America,NA,MerchEngines,NA,0,NA,2/23/15 9:25,569911e12,"Los Angeles, CA",Arizona
negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,681448366,FALSE,finalized,3,2/25/15 9:22,1,Customer Service Issue,0.6771,Virgin America,NA,ColorCartel,NA,0,NA,2/23/15 9:18,569909e12,"Austin, TX",Mountain Time (US & Canada)
